Start Date (Time Zone: America / Denver),End Date (Time Zone: America / Denver),IP Address,Duration (in seconds),Response ID,RandNum_ID,Location Latitude,Location Longitude,Gender,Age,Education,Work Experience,Race,Race_Other_Text,Kevin_Kelly,What is the salary increase that [] asked for?,How did [] start the conversation?,What was Sean's reasoning for denying []'s request?,"On a scale of 1-10, how aggressive do you feel [] was being in that meeting?","On a scale of 1-10, how aggressive do you feel Sean was being in that meeting?",Did you feel that []'s actions were driven more by internal factors or by external factors?,Did you feel that Sean's actions were driven more by internal factors or by external factors?,Timing - Page Submit
4/2/21 10:11,4/2/21 10:12,73.5.46.225,59,R_STyd6nXOc0ESJJ7,4609341,35.25180054,-90.02469635,Female,30-44 years old,Associate degree in college (2-year),11-15 years,Black or African American,,Kelly,5%,Got straight to [his/her] request,[]'s performance doesn't warrant a raise,6,8,External factors,Internal factors,26.201
4/2/21 10:45,4/2/21 10:53,98.246.240.226,476,R_7Wga123MjCOXHTH,2478627,45.57769775,-122.6795044,Male,45-59 years old,Bachelor's degree in college (4-year),3-5 years,White,,Kelly,5%,Recapped the work [he/she] has done over the past year,Strict company policy on timing of salary increases,6,9,External factors,Internal factors,183.249
4/2/21 11:57,4/2/21 11:58,172.82.128.253,61,R_W2mu6yPBsROePkZ,5813675,39.80039978,-88.29180145,Male,30-44 years old,Bachelor's degree in college (4-year),3-5 years,White,,Kelly,5%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,7,6,Internal factors,External factors,24.304
4/2/21 10:59,4/2/21 10:59,173.73.32.51,9,R_1IEJWNvTUvuDW7M,4462050,,,Female,Prefer not to say,Less than high school degree,0 years (No work experience),White,,Kelly,5%,Recapped the work [he/she] has done over the past year,[]'s performance doesn't warrant a raise,3,0,Internal factors,External factors,1.52
4/7/21 8:11,4/7/21 8:12,162.254.39.97,39,R_4ZWlIvE7EkKiLyF,8497120,34.05839539,-118.2779999,Female,18-29 years old,Master's degree,3-5 years,White,,Kelly,5%,Recapped the work [he/she] has done over the past year,[]'s performance doesn't warrant a raise,8,7,Internal factors,External factors,11.176
4/2/21 9:55,4/2/21 9:57,12.198.49.167,99,R_1Qsg1SAiqDMDSHu,2567342,32.7203064,-117.1551971,Male,30-44 years old,Bachelor's degree in college (4-year),3-5 years,White,,Kelly,10%,Got straight to [his/her] request,Does not have the budget for salary increases,4,6,Internal factors,External factors,53.125
4/2/21 9:57,4/2/21 9:58,73.4.176.49,52,R_2zYEsbO2kV2VV32,5179061,42.57629395,-71.98829651,Male,30-44 years old,Bachelor's degree in college (4-year),6-10 years,White,,Kelly,10%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,9,7,Internal factors,Internal factors,20.195
4/2/21 9:57,4/2/21 9:58,12.198.49.166,95,R_2eRVjrrZxs7PA0n,9989320,32.7203064,-117.1551971,Male,45-59 years old,Master's degree,6-10 years,White,,Kelly,10%,Got straight to [his/her] request,Does not have the budget for salary increases,5,2,External factors,Internal factors,48.833
4/2/21 9:57,4/2/21 9:59,70.162.215.144,145,R_1F4jVai2rp4AxA5,7340284,33.62620544,-112.0074005,Female,18-29 years old,Bachelor's degree in college (4-year),6-10 years,White,,Kelly,10%,Recognized the entire team for their support,[]'s performance doesn't warrant a raise,5,8,Internal factors,External factors,27.941
4/2/21 10:03,4/2/21 10:04,185.250.221.155,88,R_3OiCynsTmXOUigY,9435478,34.05839539,-118.2779999,Male,18-29 years old,Bachelor's degree in college (4-year),3-5 years,American Indian or Alaska Native,,Kelly,10%,Recapped the work [he/she] has done over the past year,[]'s performance doesn't warrant a raise,10,8,Internal factors,Internal factors,23.33
4/2/21 10:02,4/2/21 10:07,76.180.32.240,250,R_2wpFY8ZzCw8qiAw,4168167,42.88609314,-78.74569702,Female,30-44 years old,Bachelor's degree in college (4-year),1-2 years,White,,Kelly,10%,Got straight to [his/her] request,Does not have the budget for salary increases,7,10,Internal factors,External factors,59.102
4/2/21 10:03,4/2/21 10:11,50.231.89.177,444,R_2SIfZEWZfVqkpWD,8843813,33.89830017,-84.58930206,Female,18-29 years old,Bachelor's degree in college (4-year),3-5 years,White,,Kelly,10%,Recapped the work [he/she] has done over the past year,Strict company policy on timing of salary increases,9,10,Internal factors,Internal factors,21.227
4/2/21 10:16,4/2/21 10:18,63.160.142.47,106,R_28GO5N8nJpa3jMU,9599470,37.75100708,-97.8219986,Male,30-44 years old,Bachelor's degree in college (4-year),6-10 years,White,,Kelly,10%,Recapped the work [he/she] has done over the past year,[]'s performance doesn't warrant a raise,10,10,External factors,Internal factors,36.349
4/2/21 10:19,4/2/21 10:20,167.88.60.249,74,R_RUZsB1m79ABrdzb,8950599,37.39309692,-121.9620056,Male,18-29 years old,Bachelor's degree in college (4-year),6-10 years,White,,Kelly,10%,Got straight to [his/her] request,Does not have the budget for salary increases,4,5,External factors,Internal factors,36.414
4/2/21 10:24,4/2/21 10:26,198.37.124.7,128,R_31gWZZWiGUMVmKM,7760114,32.81370544,-96.87039948,Female,18-29 years old,Master's degree,3-5 years,White,,Kelly,10%,Recognized the entire team for their support,Does not have the budget for salary increases,6,5,Internal factors,External factors,52.353
